rank,term,bucket,severity,ov,wc,term_ok,infographic_url,reason,ocr_preview
401,Roastery,passable,0.9182,0.1818,12,true,/infographics/roastery.png,"moderate_overlap(wc=12,ov=0.18)",S$ Roastery NZ r Been] M A production space wletet prone sorfect (5) it or offee” vestreal. IY ourfal and O_o PHeufogate for —F whotestle or retall u
402,Biodynamic,passable,0.9182,0.1818,13,true,/infographics/biodynamic.png,"moderate_overlap(wc=13,ov=0.18)",a. Biodynamic <> * Ebmautlaimarnki Pp. iy A farming System. EL (¢ slsaking the YT o Urippors ds a To © Frera scizliting a. srgoietcn ustng ® 2) compe presseets and a lurur-based
403,Iron,passable,0.9182,0.1818,13,true,/infographics/iron.png,"moderate_overlap(wc=13,ov=0.18)",Y IRON + | / ohend A trace nestsil that can land ease hreraish thase mim! taianing er annimaiuncy husl concentrations.
404,Lactobacillus,passable,0.9182,0.1818,13,true,/infographics/lactobacillus.png,"moderate_overlap(wc=13,ov=0.18)",Lactobacillus (Lot-43% Hcly-oll-uha) INT) A jactic acid | | | aacncchap paxet cio phofieuabg of bverwanrannt a weilage arg
405,Wort,passable,0.9182,0.1818,13,true,/infographics/wort.png,"moderate_overlap(wc=13,ov=0.18)","22? Wort +5 D/ Tvorry! Wot is the sweet . + » 1 |osufiosiamted. y / A theii the teant. » rathaers, classem FD futcerhts and proceass teeided for fenfentation."
406,Dextrin,passable,0.9182,0.1818,14,true,/infographics/dextrin.png,"moderate_overlap(wc=14,ov=0.18)","Dextrin /2dtot m/ Deaflin is a relativ: | | who seengable. carbohpchle a that ronicticiles,mtprn ny = vocualiy, ama anu body to niiished b"
407,Mouthfeel,passable,0.9182,0.1818,14,true,/infographics/mouthfeel.png,"moderate_overlap(wc=14,ov=0.18)",Mouthfeel - Imaavlcttly ~~ \ The taxille impression offisptstesthe mie:titk Ni) imilcciing beas: if arruotices realinoplagy spournicnuss and particutate texture.
408,Lipolysis,passable,0.9182,0.1818,15,true,/infographics/lipolysis.png,"moderate_overlap(wc=15,ov=0.18)","Lipolysis [Iyn-PArla Lilesile] The besakdown of anily built Iry sairy | aetit. Mrachear fle doenw, coord or sharp flauors."
409,Membrane,passable,0.9182,0.1818,16,true,/infographics/membrane.png,"moderate_overlap(wc=16,ov=0.18)","7:1 Membrane O11: | 8 Moet tere £9 hh A selective flitration el): comon acad to processts Lo tld conviisits - ermitis ts | to ranrope clancls By particies, and microbes"
410,Rondinella,passable,0.9182,0.1818,16,true,/infographics/rondinella.png,"moderate_overlap(wc=16,ov=0.18)",hi RONDINELLA 0% Inconderanil lagdy Lady Verana girape seniren t@% blaaksly Is plpleduste CD for ctoor bhairer > + evetfioni:al and JJ contrination to dritch grape wines.
411,Ethanol,passable,0.9182,0.1818,17,true,/infographics/ethanol.png,"moderate_overlap(wc=17,ov=0.18)",@’ Ethanol J | /ectre new Ethonal is the primary [0° peectits i stt houing plare {uindly o cicnier '®) All% < the clecnsge |! to a prnetisar for 0“ dH 285% lal termation.
412,Caseinate,passable,0.8182,0.1818,18,true,/infographics/caseinate.png,"moderate_overlap(wc=18,ov=0.18)",Caseinate I | Penestl rezem] (| | 0 Consmtent la codulate unad protemt tgrasium conalrtert ia acfett and noatt la sermmme ukad eembina eturp und protem content.
413,Lactic,passable,0.8182,0.1818,18,true,/infographics/lactic.png,"moderate_overlap(wc=18,ov=0.18)","LACTIC 3% [~uotlnh/ 1 Lostic doant tare imeessetly 1agout- lan woudl anare land with lotic rad and, ounceil load wre) in mixed termentation."
414,Espresso,passable,0.8182,0.1818,19,true,/infographics/espresso.png,"moderate_overlap(wc=19,ov=0.18)",Espresso /espleason/ a cossums 1sed cofies pressird by Imn ray lay cruesrt strough fincty ground cofies latter press ine in a short extrac
