rank,term,bucket,severity,ov,wc,term_ok,infographic_url,reason,ocr_preview
251,Pacamara,bad,0.9167,0.0833,18,true,/infographics/pacamara.png,"low_content_or_overlap(wc=18,ov=0.08)",Pacamara Meebp/-ielgt A largo hean huilion iit Horsa ard nelerencers cabe uwuaa Saaing acladenity sad striring seed see.
252,Pasteurization,bad,1.1667,0.0833,18,false,/infographics/pasteurization.png,term_not_detected,= PASTER- - URIZATION J \ Tlo tsar aomnalev'actest misul Contarlick hast stanmara coplert edave/n resitures cherncded end and ragrams Ea package addaiity.
253,Aquifer,bad,1.1667,0.0833,19,false,/infographics/aquifer.png,term_not_detected,"fi mn OW Aquif uifer si ou] deahiwitan/ ———r An unolowe acnd layer O S) < of aurarrafjrax. atwi oF © gioiunmnation ia sfi.abwx » O LJ anit owuntisnie sreror i and oveall slzeaes a cat intireral oggeniors,"
254,Heirloom,bad,0.9167,0.0833,19,true,/infographics/heirloom.png,"low_content_or_overlap(wc=19,ov=0.08)",// NN) Z \Q/> HEIRLOOM 9) ) @) Haliertoad A bacud wlale hem thine Re.oi¥ond Etufiuggh 1200ky ven lacd wis Ai. She ngraxet wich a sinals &if lai with a single aublzer.
255,Pasteurizer,bad,0.9167,0.0833,19,true,/infographics/pasteurizer.png,"low_content_or_overlap(wc=19,ov=0.08)",0) & Shs Pasteurizer } Per'aiilr arooned. Calsd.axar liiisitloan intro.idienm. exerstatcia temoasato boiabiaqo ad rea lanaido du nelbdo prezoquare do apmioga auprotize.
256,Attenuation,bad,0.9167,0.0833,20,true,/infographics/attenuation.png,"low_content_or_overlap(wc=20,ov=0.08)","o o o (o JN] oO Attenuation Weeklz ralingy lecen Sumal, vea coat mtot muug by So docmocoriat mter mivg by Sluu, roid strat mtet nawg by on dil. vecorortmtart fanncee"
257,Mezcal,bad,0.9167,0.0833,20,true,/infographics/mezcal.png,"low_content_or_overlap(wc=20,ov=0.08)","Mezcal CE Rrelrk, KAIHY \V/ Maxcallis a Maxican y agwrt cprehat wito N I (hast © Patal agers NRSC heaner dencerted NSA and &% Mext-often esr with arophy or —J catthy roves."
258,Palatability,bad,0.9167,0.0833,20,true,/infographics/palatability.png,"low_content_or_overlap(wc=20,ov=0.08)",599 Palatability illo 200 or lonl: o unl The everat soottery accognullite of resrer baasls on ohestexitars blaatte a ratiers tomgare atily ane absance or off herers.
259,Cachaca,bad,1.2591,0.0909,11,false,/infographics/cachaca.png,term_not_detected,Jdersed/ Contmet Is adhwsati ent cniatinggs a riotioe tha torersamct than engey / juice than moriceres.
260,Milkshed,bad,1.2591,0.0909,11,false,/infographics/milkshed.png,term_not_detected,¥S Milkst \ © lewllagtl > The geograph EE tharaggctixet « SINE > mils to a eirtu dazy chers. br beverage man —
261,Deaeration,bad,1.0091,0.0909,12,true,/infographics/deaeration.png,"low_content_or_overlap(wc=12,ov=0.09)",[a] — Deaeration (atiremstarizg) The neneval of diassiveol r= Ping! ad cht-stapen an vacliene o 0% af wittbeisterafnc moteraci 93 caunitewqgr-rast defore ae .8 packaging.
262,Effervescence,bad,1.0091,0.0909,12,true,/infographics/effervescence.png,"low_content_or_overlap(wc=12,ov=0.09)","— — oa Effervescence a J 00 | ©) Frormslabs | o o O .| The aatles, and tev-file , 0, 0 omtassofhagsleod oy Op. caaurepaplies an = le [ groatlan of phablee le IY : ce '»| lien the grass ano all"
263,Flocculation,bad,1.0091,0.0909,12,true,/infographics/flocculation.png,"low_content_or_overlap(wc=12,ov=0.09)",Flocculation (:6¥ di diolaGuovim) Q The bspienrie of awts oldn a'cglend vopli fie and pacthictisn capunan loonde the and efformentation. S&T)
264,Hopback,bad,1.0091,0.0909,12,true,/infographics/hopback.png,"low_content_or_overlap(wc=12,ov=0.09)",Hopback Ernapbom! A hoaeork is a rrooal tnta cerhrratider and tirroude bezy than betm of 'egrewunccerend and rfiver zurids.
265,Juniper,bad,1.0091,0.0909,12,true,/infographics/juniper.png,"low_content_or_overlap(wc=12,ov=0.09)","Juniper rialumpPe Asigerat Invioeny- My hannisrarvarioas prioy faectium Crsb-tien reenetire the care fbner digh,"
266,Azeotrope,bad,1.0091,0.0909,13,true,/infographics/azeotrope.png,"low_content_or_overlap(wc=13,ov=0.09)",Azeotrope =) (nC AF my) J 5) Amzasrerces is A @iianral pazers that sr \ btild and ouiftences ads Nh) 8 bsaanecet cempirtittos invding psmnation by onlway disfction
267,Compression,bad,1.0091,0.0909,14,true,/infographics/compression.png,"low_content_or_overlap(wc=14,ov=0.09)","COMPRESSION Tro 61 Aroriatrierle. Oonrnatiburi of paping 0 ortissseinmed totums lext lem foo ofilication Wratdivy srange, and sampers."
268,Curacao,bad,1.0091,0.0909,14,true,/infographics/curacao.png,"low_content_or_overlap(wc=14,ov=0.09)",EE Curacao [by pa Zz uh mew] y= Fc usw naps XK mfimst har ai medticrally nkple wth shad mane \ and oitniccraarial ar slandy sass.
269,Demerara,bad,1.0091,0.0909,14,true,/infographics/demerara.png,"low_content_or_overlap(wc=14,ov=0.09)",EZ —~ Demerara / /demmTaria/ Inetrarie Demecera intivaterJsen Lrairnt Udrdiatinat with twyting Fluiteric wich deald to TT raiak from the ef DEMerera ragicn
270,Evaporation,bad,1.0091,0.0909,14,true,/infographics/evaporation.png,"low_content_or_overlap(wc=14,ov=0.09)","Evaporation “tims, foretold; th imus bgan prwatan, treseer of tohn incovappan nurigy ses@ng, anucocially tnticlerwing in voed:"
271,Newmake,bad,1.0091,0.0909,14,true,/infographics/newmake.png,"low_content_or_overlap(wc=14,ov=0.09)",Newmake l ! Hhmd How make is troally pawer bleipls siccuct axmiminzl a thoving Jouwn &vn flifestabic a ltorreenation and alibitation.
272,Nosing,bad,1.0091,0.0909,14,true,/infographics/nosing.png,"low_content_or_overlap(wc=14,ov=0.09)","Y Nosing ’/ i [ nobzin] ) Nosing is the bantedental evaluc tna parteh comes snatling in caisititt iellanaals emoure: - = ihtensity, and taati:"
273,Tincture,bad,1.0091,0.0909,14,true,/infographics/tincture.png,"low_content_or_overlap(wc=14,ov=0.09)",1 Tincture = [rangle whter] A Inteture is a convertmoted dirdinalo eutaect of eprlltladie or whearInworing <Q) repindialt iszrad for berading or sesssoning apirits
274,Amber,bad,1.0091,0.0909,15,true,/infographics/amber.png,"low_content_or_overlap(wc=15,ov=0.09)",Amber temia\a deeeciliso hear with a stanrer 2tamidish- gold Gado ruplesrly ellvroop tha:t hearnd of figaily casamdisea mana.
275,Astringent,bad,1.0091,0.0909,15,true,/infographics/astringent.png,"low_content_or_overlap(wc=15,ov=0.09)","( \ Astringent A torsusve ptust Dndguigritit snystons, ant:2 Ji grartbing as efary in mairy ranidy on legnerame maigy vale yorirers m erhirs"
276,Backflush,bad,1.2591,0.0909,15,false,/infographics/backflush.png,term_not_detected,Backfiush Dar shoturi A clearing procedure A) I) impodent reate and foreegent part earre b) through enevedirafes lb) ~ shosy for ‘emore carle O ones.
277,Buttermilk,bad,1.0091,0.0909,15,true,/infographics/buttermilk.png,"low_content_or_overlap(wc=15,ov=0.09)",Ch Buttermilk (loo damnlil) Buntarvnik a dre onogr marthlvnnd Cann withthemitt a advitced dalle dol nasay Js mmile that shameast.
278,Parellada,bad,1.0091,0.0909,15,true,/infographics/parellada.png,"low_content_or_overlap(wc=15,ov=0.09)",Parellada Laven valeal Charkio whtin grapp Twod Ftalldy in Oses fror Rispcmyulond and [zirlial Coniods Fleral character.
279,Pomace,bad,1.2591,0.0909,15,false,/infographics/pomace.png,term_not_detected,Ca P f perenas| The willd wetdeo of j {dirs aitkie vatels ety blag twmo fac sdon left otter jusst serreaal
280,Refractometer,bad,1.2591,0.0909,15,false,/infographics/refractometer.png,term_not_detected,S Refractomete / [suimibie the min mim) (R An aplicial snajor trad culnemsmrandiial Et = actriesittsanléraime r by linuier dal doere imprul trands light.
281,Separation,bad,1.0091,0.0909,15,true,/infographics/separation.png,"low_content_or_overlap(wc=15,ov=0.09)",l | Separatic N——rr fegcrvation! @ Separation is tecernagai praces: \S EB 0X | devcee with No trad treerc anf] dea dal partione hased on — densiry differanec:
282,Stabilizer,bad,1.0091,0.0909,15,true,/infographics/stabilizer.png,"low_content_or_overlap(wc=15,ov=0.09)","oge Stabilizer f stalal lal zez f CS At Ingredient that rnegostiastiofr or teors eerivies, suppention, to seectiscy, and tmlores senpretion during sivwn ge and eletriaction,"
283,Syneresis,bad,1.0091,0.0909,15,true,/infographics/syneresis.png,"low_content_or_overlap(wc=15,ov=0.09)","3 Syneresis hN—""4 [shvenies] in the opfertacky on ticpin ghelf csnttore dit pur tbevergent your me keneb ation in ohtond cely cbotars."
284,Tencha,bad,1.0091,0.0909,15,true,/infographics/tencha.png,"low_content_or_overlap(wc=15,ov=0.09)","XY, | fabio Tencha : Far wirig You'ne'g ployled cperatnottba piapBvacepantion shiite oying and purisaly alnerwanlie tun slanked for matah."
285,Priming,bad,1.2591,0.0909,16,false,/infographics/priming.png,term_not_detected,se) Primin o° iming \ o [‘preamm] The satitfon of pestumtitios cover pouen pereatpility bugeencd oango i aduingie certotrity fo- and the strspinse ceeled container.
286,Tamper,bad,1.2591,0.0909,16,false,/infographics/tamper.png,term_not_detected,t’'orm pee A foat peel tc compe ai: and cathe eatols eoocccccefp’ der nani cxurievenis yoanesh en form EE water Hool. EER
287,Watershed,bad,1.2591,0.0909,16,false,/infographics/watershed.png,term_not_detected,"Watershec Indeienatea’ The land usee that das yoved assden neny of eonte pay inthesalser i, pe te. asent. Im rage gee: a vogetation, and land s"
288,Champagne,bad,1.0091,0.0909,17,true,/infographics/champagne.png,"low_content_or_overlap(wc=17,ov=0.09)","a ® *, Champagne 4086 nuryntais 0 Tradisional nesthed wastdiay oocrlison Chameages Enyicaed [] vualter of in ogional refer and Gloossly —_ Hedks ative uyudsiay and compleuty."
289,Feints,bad,0.9091,0.0909,18,true,/infographics/feints.png,"low_content_or_overlap(wc=18,ov=0.09)",| Feints ) [feintol p Pattes are late cus 0 guili f'momten Ta wil uspnilsten'rt are we pe = costuan havasire compoartite and u ere d'irrm veo cisr tittoilater nurs.
290,Cellulose,bad,0.9091,0.0909,19,true,/infographics/cellulose.png,"low_content_or_overlap(wc=19,ov=0.09)",=) — \O Cellulose baer your leno CONE anan ZaKBLIMa beiude- rrAZenu.roeeane rasachao®meoofea bavving<ulity avma pet saoclines colmoo gatabls
291,Mold,bad,0.9091,0.0909,19,true,/infographics/mold.png,"low_content_or_overlap(wc=19,ov=0.09)",——= Mold a irvorml \ | ) Mold ina a song ore < Lax sme fudty acotat insmicuany growire and toligh far a cuntiimd convanr cife phould be ellesandleb
292,Destemming,bad,1.15,0.1,6,true,/infographics/destemming.png,"low_content_or_overlap(wc=6,ov=0.10)",Destemming Deucrcinstuam Een en nT TE viviarvipauver iondunaturiyl ootir
293,Backslop,bad,1.15,0.1,7,true,/infographics/backslop.png,"low_content_or_overlap(wc=7,ov=0.10)",[ S— — ad - # +S Backslop 3M | 201° ‘Backdoe- in encltemafater of nsing Hdifocoeisraesoeuating mochaliue
294,Culturing,bad,1,0.1,10,true,/infographics/culturing.png,"low_content_or_overlap(wc=10,ov=0.10)",Op Oo S— . { Culturing [wht nerinig] | The inaofiation of tiillk with renpectuancaine fa cuiariug cobing fenliencihenest and proservation.
295,Caprine,bad,1,0.1,11,true,/infographics/caprine.png,"low_content_or_overlap(wc=11,ov=0.10)",Caprine X [ko umi] = Dorked from Q goans: thseaebing pod is goicy plaisk fes from gota mik
296,Colostrum,bad,1,0.1,12,true,/infographics/colostrum.png,"low_content_or_overlap(wc=12,ov=0.10)","I © Colostrum — we MM Mian ban by ~~ Ouricenntitirew line, sbldgn, 1y tsotmiiks sueuereligrasells. viliibetate | nricgns and facournie 1aamp."
297,Demucilage,bad,1.25,0.1,12,false,/infographics/demucilage.png,term_not_detected,7 Demuci la | [de myersuine) (0) The reamevel of muck from punchiesdt aftf by moching 's sreesctc tursaoalyhee tirne or — water use during visc
298,Vermouth,bad,1.25,0.1,12,false,/infographics/vermouth.png,term_not_detected,Ya \ / | Warrrame | wr f )| butrazaiis is a fortified 75 wt | the prarsenoble and ned ailizi smend \A punmining duce in JI constrinr and opecliff dervice.
299,Ebc,bad,1.25,0.1,13,false,/infographics/ebc.png,term_not_detected,J=dlks 4 LBG is the Envepnan Breating Graeention color wade lized to exjxralily Dzer and reud color andyxically.
