rank,term,bucket,severity,ov,wc,term_ok,infographic_url,reason,ocr_preview
101,Channeling,bad,1,0,19,true,/infographics/channeling.png,"low_content_or_overlap(wc=19,ov=0.00)",| 4 )) ov 9 0 fo ° wif: Channeling [3 bes /ic%ennsibne/ LJ ' Uaronn whee fleir fiactenck srollera Ind therthe roaeigrt.;ann Aeast vith wads wna Cleing wates.
102,Clarifier,bad,1,0,19,true,/infographics/clarifier.png,"low_content_or_overlap(wc=19,ov=0.00)",Clarifier i althred pem : a pig Coisotainecc gaho eC eo © ecomad urs ca mgra > @ ¥ senatd ofiler vicrraet a hiclad Inoxees fiex i ecnamal jeedewmta wendrertel apopobares.
103,Diacetyl,bad,1.25,0,19,false,/infographics/diacetyl.png,term_not_detected,Oo JL) Diacetyi (@) ER LEOMEC DITO 4 Voconts is prieifind 3 precear:i thet ginss play ‘c-§ osry of” tee armeeral ciusing and iawn satiing isinnateen SEE uwirimaication have
104,Hydrology,bad,1,0,19,true,/infographics/hydrology.png,"low_content_or_overlap(wc=19,ov=0.00)","0 00 HYDROLOGY C) W/E \PHICE MOTE Zs The fwnpese DCF casise a susioopnete. diallcantion, SN youd tedmage corumre Ey >) cavilane specs. \ at Ood msuuvote and “= \ palsical bose. NIN NN NINN a SN"
105,Minerality,bad,1,0,19,true,/infographics/minerality.png,"low_content_or_overlap(wc=19,ov=0.00)","Minerality i'me nor a la-ie \ 7 sEqray con, usggesing etala, Doloe cf 311% Has flarrnations hve and;atEter heve dresity met rakible flerer A oon ~~"
106,MundoNovo,bad,1.25,0,19,false,/infographics/mundonovo.png,term_not_detected,Mundo Novo A sean:azimnton/ 1: 1 siznren plumation. begxa chirahing thoian far yoring you n.ea.n. and pas: of yoo to jit miner zeonality in thoeal and ciacerane.
107,Thermization,bad,1.25,0,19,false,/infographics/thermization.png,term_not_detected,Th izati Dao. car ait aintl Thera ours bt at tnuld helt corua net shige to ouithem cwitdnese and to your salt knew cy iroffer youneerting;
108,Zinfandel,bad,1,0,19,true,/infographics/zinfandel.png,"low_content_or_overlap(wc=19,ov=0.00)",= | zinfandel » MMUIEFTICTIEN Pala) rAANL Yoy a gropo (dla indrag grova ry 7 for gachcas J g l hatup.jand cap = JF foun zaurtion sapcictets cancsiais supiies and apnato
109,Carmenere,bad,1.25,0,20,false,/infographics/carmenere.png,term_not_detected,"Carméner /kér me.ner/ ) Lake tipening bordeaur 3 en) mrtule mus aes3chah. b Vit C a) Chike lpriaezing dusdiy, ceinada anjua, cum dansrri heroa. and sort fanmnis."
110,Darjeeling,bad,1.25,0,20,false,/infographics/darjeeling.png,term_not_detected,"\ . . RE Darjecling Vat ( Kin‘aging) —{ ai ) 74 accilding ¢ hee ageirs end acounting fianre of tiram and a trepatklir sased Inde seats, your awiing you you and ausanes."
